timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664834432,258,Products Request,200,OK,Products 2-13,text,true,,45104,181,1,7,https://dummyjson.com/products,245,0,163
1782664834617,96,Products Request,200,OK,Shopping 4-8,text,true,,45106,565,3,6,https://dummyjson.com/products,81,0,0
1782664834601,132,Login Request,200,OK,Login Users 1-12,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,132,0,0
1782664834690,94,Products Request,200,OK,Products 2-13,text,true,,45102,181,1,6,https://dummyjson.com/products,79,0,0
1782664834422,411,Login Request,200,OK,Login Users 1-13,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,409,0,272
1782664834733,136,Login Request,200,OK,Login Users 1-12,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,136,0,0
1782664834785,96,Products Request,200,OK,Products 2-13,text,true,,45098,181,1,5,https://dummyjson.com/products,81,0,0
1782664834443,480,Login Request,200,OK,Shopping 4-10,text,true,,2818,290,3,6,https://dummyjson.com/auth/login,480,0,162
1782664834834,134,Login Request,200,OK,Login Users 1-13,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,134,0,0
1782664834881,93,Products Request,200,OK,Products 2-13,text,true,,45104,181,2,7,https://dummyjson.com/products,79,0,0
1782664834683,315,Checkout Request,200,OK,Shopping 4-9,text,true,,2030,218,3,7,https://dummyjson.com/carts/user/1,315,0,0
1782664834923,96,Products Request,200,OK,Shopping 4-10,text,true,,45104,565,3,7,https://dummyjson.com/products,81,0,0
1782664834714,313,Cart Request,201,Created,Shopping 4-8,text,true,,1309,310,3,7,https://dummyjson.com/carts/add,313,0,0
1782664834975,97,Products Request,200,OK,Products 2-13,text,true,,45100,181,2,7,https://dummyjson.com/products,82,0,0
1782664834969,136,Login Request,200,OK,Login Users 1-13,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,136,0,0
1782664834934,260,Products Request,200,OK,Products 2-14,text,true,,45102,181,1,7,https://dummyjson.com/products,247,0,160
1782664835106,137,Login Request,200,OK,Login Users 1-13,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,137,0,0
1782664835194,95,Products Request,200,OK,Products 2-14,text,true,,45098,181,1,7,https://dummyjson.com/products,80,0,0
1782664834998,315,Login Request,200,OK,Shopping 4-9,text,true,,2812,292,4,7,https://dummyjson.com/auth/login,315,0,0
1782664834921,406,Login Request,200,OK,Login Users 1-14,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,406,0,274
1782664835019,311,Cart Request,201,Created,Shopping 4-10,text,true,,1309,310,4,7,https://dummyjson.com/carts/add,311,0,0
1782664835028,312,Checkout Request,200,OK,Shopping 4-8,text,true,,2022,218,4,7,https://dummyjson.com/carts/user/1,312,0,0
1782664835243,137,Login Request,200,OK,Login Users 1-13,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,137,0,0
1782664835290,97,Products Request,200,OK,Products 2-14,text,true,,45106,181,1,5,https://dummyjson.com/products,82,0,0
1782664835313,98,Products Request,200,OK,Shopping 4-9,text,true,,45098,565,3,5,https://dummyjson.com/products,82,0,0
1782664835328,136,Login Request,200,OK,Login Users 1-14,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,136,0,0
1782664835387,99,Products Request,200,OK,Products 2-14,text,true,,45096,181,2,7,https://dummyjson.com/products,82,0,0
1782664835486,96,Products Request,200,OK,Products 2-14,text,true,,45098,181,2,7,https://dummyjson.com/products,80,0,0
